fold,method,bottom_model,oos_weights,level,wmape,mape,pinball_loss,bias,wrmsse
backtest_3,mint_oos,lgbm_global,True,item,0.7351962836060476,0.5628456862799623,0.5427198693686816,-0.030089970944840547,0.8249974017369228
holdout,base,lgbm_global,True,department,0.08601835454414823,0.12069599739491133,28.590679743478148,-0.02605857535040537,0.5305249357697226
holdout,base,lgbm_global,True,category,0.06900270713076276,0.07966374828191505,53.51509058830301,-0.02790588038906966,0.46627891207390004
holdout,base,lgbm_global,True,store,0.05781713501924524,0.055729792826454926,134.5203404374109,-0.026826299797658975,0.4243886916296198
holdout,base,lgbm_global,True,state,0.04623869797869675,0.045637828188588365,430.32539688495336,-0.02493557840254941,0.36163010975843674
holdout,base,lgbm_global,True,total,0.04623869797869675,0.045637828188588365,430.32539688495336,-0.02493557840254941,0.36163010975843674
holdout,base,lgbm_global,True,item,0.7266769512444322,0.5682588009922727,0.5545176209413811,-0.06693262369547491,0.8091260908468578
holdout,bottom_up,lgbm_global,True,department,0.11310553503823612,0.12994464368116457,37.593885010125966,-0.06693262369547488,0.6393268999926474
holdout,bottom_up,lgbm_global,True,category,0.09852601112360732,0.0982515471630501,76.41190657334884,-0.066932623695475,0.5963347400851803
holdout,bottom_up,lgbm_global,True,store,0.08606381598399362,0.08559542023214917,200.24053114454446,-0.06693262369547516,0.5708482600290467
holdout,bottom_up,lgbm_global,True,state,0.06931751025123238,0.06520848864885588,645.1108360291926,-0.0669326236954756,0.511959399109155
holdout,bottom_up,lgbm_global,True,total,0.06931751025123238,0.06520848864885588,645.1108360291926,-0.0669326236954756,0.511959399109155
holdout,bottom_up,lgbm_global,True,item,0.7266769512444322,0.5682588009922727,0.5545176209413811,-0.06693262369547491,0.8091260908468578
holdout,top_down,lgbm_global,True,department,0.11520293476476517,0.13620197310922275,38.291016269995325,-0.02493557840254938,0.7063401728896441
holdout,top_down,lgbm_global,True,category,0.09643598575802352,0.10059836755749021,74.79098615700761,-0.024935578402549643,0.6441478560112426
holdout,top_down,lgbm_global,True,store,0.08708180857950536,0.08350798083356246,202.60904543473575,-0.024935578402549854,0.6321856326225316
holdout,top_down,lgbm_global,True,state,0.04623869797869484,0.04563782818858638,430.3253968849355,-0.024935578402548658,0.3616301097584271
holdout,top_down,lgbm_global,True,total,0.04623869797869484,0.04563782818858638,430.3253968849355,-0.024935578402548658,0.3616301097584271
holdout,top_down,lgbm_global,True,item,0.7499743258257769,0.5932443476472731,0.572295540971601,-0.02493557840254941,0.8254955463619043
holdout,mint_diagonal,lgbm_global,True,department,0.1050409324520382,0.1236272818784347,34.913381866089765,-0.05800009215086906,0.5999426931088181
holdout,mint_diagonal,lgbm_global,True,category,0.08989262266782107,0.09147695538377598,69.71627701754213,-0.05800009215086917,0.5501688844463545
holdout,mint_diagonal,lgbm_global,True,store,0.07881610555084995,0.07764594783100955,183.37763272293066,-0.05800009215086887,0.5196737794777239
holdout,mint_diagonal,lgbm_global,True,state,0.06358594743036465,0.05992339176825458,591.7694325407704,-0.05800009215086897,0.45676007436939736
holdout,mint_diagonal,lgbm_global,True,total,0.06358594743036465,0.05992339176825458,591.7694325407704,-0.05800009215086897,0.45676007436939736
holdout,mint_diagonal,lgbm_global,True,item,0.7270157491554708,0.5688273617705422,0.5547761531698869,-0.05800009215086912,0.8074151741838362
holdout,mint_oos,lgbm_global,True,department,0.09859823023365953,0.12102210928877764,32.77196406305889,-0.05005340847307508,0.5742959438598402
holdout,mint_oos,lgbm_global,True,category,0.08269237501387731,0.08713021145412168,64.13212066366434,-0.05005340847307507,0.5184269111703569
holdout,mint_oos,lgbm_global,True,store,0.07236067999990779,0.07082615312079292,168.35810533728545,-0.05005340847307496,0.48595844738214017
holdout,mint_oos,lgbm_global,True,state,0.05850846895153404,0.05527803670229276,544.515335061982,-0.05005340847307499,0.4169752052008797
holdout,mint_oos,lgbm_global,True,total,0.05850846895153404,0.05527803670229276,544.515335061982,-0.05005340847307499,0.4169752052008797
holdout,mint_oos,lgbm_global,True,item,0.7274895537529822,0.5698620432828005,0.5551377072246195,-0.05005340847307509,0.8060091049000535
