kind,name,is_served,fold,window,level,level_order,wmape,wrmsse,mape,bias
Reconciliation,"MinT, in-sample weights",True,backtest_1,backtest,total,1,0.07621741725512583,0.5030045726110052,0.07305787585607096,-0.06367434763973591
Reconciliation,"MinT, in-sample weights",True,backtest_1,backtest,item,6,0.7453236621660257,0.8347121724483408,0.5714979161125029,-0.06367434763973584
Reconciliation,"MinT, out-of-sample weights",False,backtest_1,backtest,department,5,0.11631540199509843,0.625463127494701,0.15203469989657165,-0.06367434763973585
Reconciliation,"MinT, out-of-sample weights",False,backtest_1,backtest,category,4,0.09740138041837364,0.5755943093852204,0.09967690746061883,-0.06367434763973581
Reconciliation,"MinT, out-of-sample weights",False,backtest_1,backtest,store,3,0.0830147335807697,0.5305385092348207,0.07788210403455031,-0.06367434763973559
Reconciliation,"MinT, out-of-sample weights",False,backtest_1,backtest,state,2,0.07621741725512583,0.5030045726110052,0.07305787585607096,-0.06367434763973591
Reconciliation,"MinT, out-of-sample weights",False,backtest_1,backtest,total,1,0.07621741725512583,0.5030045726110052,0.07305787585607096,-0.06367434763973591
Reconciliation,"MinT, out-of-sample weights",False,backtest_1,backtest,item,6,0.7453236621660257,0.8347121724483408,0.5714979161125029,-0.06367434763973584
Reconciliation,SARIMA base (incoherent),False,backtest_2,backtest,department,5,0.09986876100588694,0.65647374512118,0.23929631517059088,0.007786567947018066
Reconciliation,SARIMA base (incoherent),False,backtest_2,backtest,category,4,0.08259703568774038,0.6110091563244091,0.10619015926311719,0.000309325854556771
Reconciliation,SARIMA base (incoherent),False,backtest_2,backtest,store,3,0.06566014995559344,0.5565475323939668,0.07586946544082925,-0.0002922931706506086
Reconciliation,SARIMA base (incoherent),False,backtest_2,backtest,state,2,0.05058025948823041,0.4264435744809704,0.04895553111273084,0.016293274756022588
Reconciliation,SARIMA base (incoherent),False,backtest_2,backtest,total,1,0.05058025948823041,0.4264435744809704,0.04895553111273084,0.016293274756022588
Reconciliation,SARIMA base (incoherent),False,backtest_2,backtest,item,6,0.7567970204428707,0.8419662374168957,0.5730503111543735,-0.04700399118522777
Reconciliation,Bottom-up,False,backtest_2,backtest,department,5,0.11518039767036051,0.6836159337939582,0.2300810744383478,-0.047003991185227766
Reconciliation,Bottom-up,False,backtest_2,backtest,category,4,0.10112769190038383,0.6515435807310075,0.11033403047938213,-0.04700399118522783
Reconciliation,Bottom-up,False,backtest_2,backtest,store,3,0.08282876447453957,0.5724637854405424,0.08873801094680091,-0.04700399118522767
Reconciliation,Bottom-up,False,backtest_2,backtest,state,2,0.06618276314587555,0.49715764242400623,0.06155621065267177,-0.0470039911852281
Reconciliation,Bottom-up,False,backtest_2,backtest,total,1,0.06618276314587555,0.49715764242400623,0.06155621065267177,-0.0470039911852281
Reconciliation,Bottom-up,False,backtest_2,backtest,item,6,0.7567970204428707,0.8419662374168957,0.5730503111543735,-0.04700399118522777
Reconciliation,Top-down,False,backtest_2,backtest,department,5,0.12238600013017213,0.7500368104813143,0.26884474931425845,0.01629327475602261
Reconciliation,Top-down,False,backtest_2,backtest,category,4,0.1057454449431932,0.6910884192269748,0.14318200264787734,0.016293274756022495
Reconciliation,Top-down,False,backtest_2,backtest,store,3,0.0818542461754573,0.59282134272716,0.09219069713269194,0.016293274756022446
Reconciliation,Top-down,False,backtest_2,backtest,state,2,0.05058025948822912,0.42644357448096537,0.048955531112729635,0.0162932747560216
Reconciliation,Top-down,False,backtest_2,backtest,total,1,0.05058025948822912,0.42644357448096537,0.048955531112729635,0.0162932747560216
Reconciliation,Top-down,False,backtest_2,backtest,item,6,0.7951176747406995,0.8776681797447627,0.6070577065636443,0.016293274756022588
Reconciliation,"MinT, in-sample weights",True,backtest_2,backtest,department,5,0.10755302188273341,0.6603179847501673,0.22889499356025678,-0.03515156981933893
Reconciliation,"MinT, in-sample weights",True,backtest_2,backtest,category,4,0.09343168101433212,0.6240231025457097,0.10749209554220875,-0.035151569819339014
Reconciliation,"MinT, in-sample weights",True,backtest_2,backtest,store,3,0.07457743162789969,0.5434594435566078,0.08068256641536473,-0.03515156981933926
Reconciliation,"MinT, in-sample weights",True,backtest_2,backtest,state,2,0.056168023097299596,0.45211809860377805,0.05153689881770289,-0.035151569819339146
Reconciliation,"MinT, in-sample weights",True,backtest_2,backtest,total,1,0.056168023097299596,0.45211809860377805,0.05153689881770289,-0.035151569819339146
Reconciliation,"MinT, in-sample weights",True,backtest_2,backtest,item,6,0.7577782234396995,0.841533029149881,0.5752149941774957,-0.03515156981933894
Reconciliation,"MinT, out-of-sample weights",False,backtest_2,backtest,department,5,0.10426794164318384,0.6510737389953706,0.22789321688075082,-0.030690961673475955
Reconciliation,"MinT, out-of-sample weights",False,backtest_2,backtest,category,4,0.0898834199339644,0.6145159834570469,0.10589249275998244,-0.03069096167347595
Reconciliation,"MinT, out-of-sample weights",False,backtest_2,backtest,store,3,0.07126974409007188,0.5350146921716246,0.07750125843892516,-0.03069096167347602
Reconciliation,"MinT, out-of-sample weights",False,backtest_2,backtest,state,2,0.05264062414179717,0.4382526763357108,0.04805213631337222,-0.03069096167347668
Reconciliation,"MinT, out-of-sample weights",False,backtest_2,backtest,total,1,0.05264062414179717,0.4382526763357108,0.04805213631337222,-0.03069096167347668
Reconciliation,"MinT, out-of-sample weights",False,backtest_2,backtest,item,6,0.7570019178165344,0.8399090097435729,0.5754998522099537,-0.030690961673475986
Reconciliation,SARIMA base (incoherent),False,backtest_3,backtest,department,5,0.09722928745096929,0.5722122197756683,0.14369087221690235,-0.0019385478281003536
Reconciliation,SARIMA base (incoherent),False,backtest_3,backtest,category,4,0.07479013096899909,0.49009207485816325,0.08635727529704845,-0.00920671655098078
Reconciliation,SARIMA base (incoherent),False,backtest_3,backtest,store,3,0.06229467378025834,0.41841683773833777,0.05895091941616774,-0.014127738730691146
Reconciliation,SARIMA base (incoherent),False,backtest_3,backtest,state,2,0.046240960393579986,0.3456101522989966,0.04478934191241012,-0.005974044813459624
Reconciliation,SARIMA base (incoherent),False,backtest_3,backtest,total,1,0.046240960393579986,0.3456101522989966,0.04478934191241012,-0.005974044813459624
Reconciliation,SARIMA base (incoherent),False,backtest_3,backtest,item,6,0.7348093613172813,0.8229834702508325,0.5623783322400022,-0.03309905402502858
Reconciliation,Bottom-up,False,backtest_3,backtest,department,5,0.09919931761543924,0.5406664896282887,0.140590220767933,-0.033099054025028565
Reconciliation,Bottom-up,False,backtest_3,backtest,category,4,0.08389212379120213,0.4839095213172971,0.09427029039939368,-0.03309905402502859
Reconciliation,Bottom-up,False,backtest_3,backtest,store,3,0.0692120400619447,0.42490997730163654,0.06867451442966145,-0.0330990540250284
Reconciliation,Bottom-up,False,backtest_3,backtest,state,2,0.03980302780453036,0.29422070295630537,0.037449849480164075,-0.033099054025028544
Reconciliation,Bottom-up,False,backtest_3,backtest,total,1,0.03980302780453036,0.29422070295630537,0.037449849480164075,-0.033099054025028544
Reconciliation,Bottom-up,False,backtest_3,backtest,item,6,0.7348093613172813,0.8229834702508325,0.5623783322400022,-0.03309905402502858
Reconciliation,Top-down,False,backtest_3,backtest,department,5,0.10565408906184727,0.6282884296372354,0.1509514972719051,-0.0059740448134596325
Reconciliation,Top-down,False,backtest_3,backtest,category,4,0.08565511557764388,0.55903047691989,0.10167192946880747,-0.005974044813459727
Reconciliation,Top-down,False,backtest_3,backtest,store,3,0.07121965662538457,0.4936610743594116,0.06843501006232969,-0.005974044813459691
Reconciliation,Top-down,False,backtest_3,backtest,state,2,0.046240960393579916,0.34561015229899933,0.04478934191241006,-0.005974044813458891
Reconciliation,Top-down,False,backtest_3,backtest,total,1,0.046240960393579916,0.34561015229899933,0.04478934191241006,-0.005974044813458891
Reconciliation,Top-down,False,backtest_3,backtest,item,6,0.7594720619804627,0.8447072269437472,0.588465647843434,-0.005974044813459625
Reconciliation,"MinT, in-sample weights",True,backtest_3,backtest,department,5,0.09611826981132067,0.5297260556054133,0.13746370347619286,-0.028849527323547067
Reconciliation,"MinT, in-sample weights",True,backtest_3,backtest,category,4,0.07965691753645049,0.4681865603292904,0.09000110506221867,-0.028849527323547137
Reconciliation,"MinT, in-sample weights",True,backtest_3,backtest,store,3,0.06618442928082653,0.4092875246801071,0.06539858226096475,-0.028849527323547265
Reconciliation,"MinT, in-sample weights",True,backtest_3,backtest,state,2,0.03928152868158385,0.29204310946684675,0.036735914952005046,-0.028849527323548053
Reconciliation,"MinT, in-sample weights",True,backtest_3,backtest,total,1,0.03928152868158385,0.29204310946684675,0.036735914952005046,-0.028849527323548053
Reconciliation,"MinT, in-sample weights",True,backtest_3,backtest,item,6,0.734718426747716,0.8222511020563299,0.5630373898320353,-0.028849527323547054
Reconciliation,"MinT, out-of-sample weights",False,backtest_3,backtest,department,5,0.09996816472139952,0.5452845501973512,0.1370729540930264,-0.030089970944840515
Reconciliation,"MinT, out-of-sample weights",False,backtest_3,backtest,category,4,0.08283999897981378,0.48701495149442625,0.09105335863564737,-0.030089970944840592
Reconciliation,"MinT, out-of-sample weights",False,backtest_3,backtest,store,3,0.07024836872597041,0.4266955416989479,0.06903320487545851,-0.030089970944840543
Reconciliation,"MinT, out-of-sample weights",False,backtest_3,backtest,state,2,0.04090617182159481,0.30796620465562524,0.038134185470385704,-0.03008997094484152
Reconciliation,"MinT, out-of-sample weights",False,backtest_3,backtest,total,1,0.04090617182159481,0.30796620465562524,0.038134185470385704,-0.03008997094484152
Reconciliation,"MinT, out-of-sample weights",False,backtest_3,backtest,item,6,0.7351962836060476,0.8249974017369228,0.5628456862799623,-0.030089970944840547
Reconciliation,SARIMA base (incoherent),False,holdout,holdout,department,5,0.08601835454414823,0.5305249357697226,0.12069599739491133,-0.02605857535040537
Reconciliation,SARIMA base (incoherent),False,holdout,holdout,category,4,0.06900270713076276,0.46627891207390004,0.07966374828191505,-0.02790588038906966
Reconciliation,SARIMA base (incoherent),False,holdout,holdout,store,3,0.05781713501924524,0.4243886916296198,0.055729792826454926,-0.026826299797658975
Reconciliation,SARIMA base (incoherent),False,holdout,holdout,state,2,0.04623869797869675,0.36163010975843674,0.045637828188588365,-0.02493557840254941
Reconciliation,SARIMA base (incoherent),False,holdout,holdout,total,1,0.04623869797869675,0.36163010975843674,0.045637828188588365,-0.02493557840254941
Reconciliation,SARIMA base (incoherent),False,holdout,holdout,item,6,0.7266769512444322,0.8091260908468578,0.5682588009922727,-0.06693262369547491
Reconciliation,Bottom-up,False,holdout,holdout,department,5,0.11310553503823612,0.6393268999926474,0.12994464368116457,-0.06693262369547488
Reconciliation,Bottom-up,False,holdout,holdout,category,4,0.09852601112360732,0.5963347400851803,0.0982515471630501,-0.066932623695475
Reconciliation,Bottom-up,False,holdout,holdout,store,3,0.08606381598399362,0.5708482600290467,0.08559542023214917,-0.06693262369547516
Reconciliation,Bottom-up,False,holdout,holdout,state,2,0.06931751025123238,0.511959399109155,0.06520848864885588,-0.0669326236954756
Reconciliation,Bottom-up,False,holdout,holdout,total,1,0.06931751025123238,0.511959399109155,0.06520848864885588,-0.0669326236954756
Reconciliation,Bottom-up,False,holdout,holdout,item,6,0.7266769512444322,0.8091260908468578,0.5682588009922727,-0.06693262369547491
Reconciliation,Top-down,False,holdout,holdout,department,5,0.11520293476476517,0.7063401728896441,0.13620197310922275,-0.02493557840254938
Reconciliation,Top-down,False,holdout,holdout,category,4,0.09643598575802352,0.6441478560112426,0.10059836755749021,-0.024935578402549643
Reconciliation,Top-down,False,holdout,holdout,store,3,0.08708180857950536,0.6321856326225316,0.08350798083356246,-0.024935578402549854
Reconciliation,Top-down,False,holdout,holdout,state,2,0.04623869797869484,0.3616301097584271,0.04563782818858638,-0.024935578402548658
Reconciliation,Top-down,False,holdout,holdout,total,1,0.04623869797869484,0.3616301097584271,0.04563782818858638,-0.024935578402548658
Reconciliation,Top-down,False,holdout,holdout,item,6,0.7499743258257769,0.8254955463619043,0.5932443476472731,-0.02493557840254941
Reconciliation,"MinT, in-sample weights",True,holdout,holdout,department,5,0.1050409324520382,0.5999426931088181,0.1236272818784347,-0.05800009215086906
Reconciliation,"MinT, in-sample weights",True,holdout,holdout,category,4,0.08989262266782107,0.5501688844463545,0.09147695538377598,-0.05800009215086917
Reconciliation,"MinT, in-sample weights",True,holdout,holdout,store,3,0.07881610555084995,0.5196737794777239,0.07764594783100955,-0.05800009215086887
Reconciliation,"MinT, in-sample weights",True,holdout,holdout,state,2,0.06358594743036465,0.45676007436939736,0.05992339176825458,-0.05800009215086897
Reconciliation,"MinT, in-sample weights",True,holdout,holdout,total,1,0.06358594743036465,0.45676007436939736,0.05992339176825458,-0.05800009215086897
